name,iso639-3,family-tree
Obolo,ann,"Niger–Congo,?,Atlantic–Congo,Benue–Congo,Cross River,Lower Cross,Obolo"
Ömie,aom,"Trans–New Guinea,Koiarian,Baraic,Ömie"
Anmatyerre,amx,"Pama–Nyungan,Arandic,Arrernte,Arrernte"
Denya,anv,"Niger–Congo,?,Atlantic–Congo,Benue–Congo,Southern Bantoid,Mamfe,Denya"
Mufian,aoj,"Torricelli,Arapesh,Mufian"
Anindilyakwa,aoi,"Macro-Pama–Nyungan,?,Macro-Gunwinyguan,?,East Arnhem?,Anindilyakwa"
Bumbita Arapesh,aon,"Torricelli,Arapesh,Bumbita"
Uab Meto,aoz,"Austronesian,Malayo-Polynesian,Central–Eastern,Timoric,West Timor,Uab Meto"
Sa'a,apb,"Austronesian,Malayo-Polynesian,Oceanic,Southeast Solomonic,Malaita – San Cristobal,Malaita,Sa'a"
Apinayé,apn,"Macro-Jê,Jê,Cerrado,Jê of Goyaz,Northern Jê,Trans-Tocantins,Apinayé"
Arop-Lokep,apr,"Austronesian,Malayo-Polynesian,Oceanic,Western Oceanic,Ngero–Vitiaz,Korap,Arop-Lokep"
Alamblak,amp,"Sepik,Sepik Hill,Alamblak,Alamblak"
Apurinã,apu,"Arawakan,Southern,Piro,Apurinã"
Apatani,apt,"Sino-Tibetan,Tani,Western Tani,Apatani"
Apalaí,apy,"Cariban,(unclassified),Apalaí"
Safeyoka,apz,"Trans–New Guinea,Angan,Northeast,Safeyoka"
Western Apache,apw,"Dené–Yeniseian,Na-Dené,Athabaskan–Eyak,Athabaskan,Southern,Southwestern,Western Apache"
Standard Arabic,arb,"Afro-Asiatic,Semitic,Central Semitic,Arabic,Modern Standard Arabic"
Arabela,arl,"Zaparoan,Arabela–Andoa,Arabela"
Western Arrarnta,are,"Pama–Nyungan,Arandic,Arrernte,Arrernte"
Bukiyip,ape,"Torricelli,Arapesh,Bukiyip"
Arapaho,arp,"Algic,Algonquian,Arapahoan,Arapaho"
Egyptian Arabic,arz,"Afro-Asiatic,Semitic,Central Semitic,Arabic language,Egyptian Arabic"
Mapudungun,arn,"Araucanian,Mapuche"
Cishingini,asg,"Niger–Congo,?,Benue–Congo,Kainji,Kambari,Shingini"
Moroccan Arabic,ary,"Afro-Asiatic,Semitic,West Semitic,Central Semitic,North Arabian,Arabic,Maghrebi Arabic,Moroccan Arabic"
Zaiwa,atb,"Sino-Tibetan,(,Tibeto-Burman,),Lolo–Burmese,Burmish,Maruic,Zaiwa"
Dano,aso,"Trans–New Guinea,Kainantu–Goroka,Goroka,Gahuku,Dano"
Ata Manobo,atd,"Austronesian,Malayo-Polynesian,Philippine,Greater Central Philippine,Manobo,Central,South,Ata"
Ivbie North-Okpela-Arhe,atg,"Niger–Congo,?,Atlantic–Congo,Volta–Niger,.mw-parser-output span.smallcaps{font-variant:small-caps}.mw-parser-output span.smallcaps-smaller{font-size:85%},yeai,Edoid,North-Central,Yekhee,Okpela"
Pele-Ata,ata,"West New Britain,Ata"
Pamplona Atta,att,"Austronesian,Malayo-Polynesian,Philippine,Northern Luzon,Cagayan Valley,Ibanagic,Atta"
Waorani,auc,Language isolate
Au,avt,"Torricelli,Wapei,Au"
Anuki,aui,"Austronesian,Malayo-Polynesian,Oceanic,Western Oceanic,Papuan Tip,Nuclear Papuan Tip,North Papuan Mainland – D'Entrecasteaux,Anuki"
Awa (Papua New Guinea),awb,"Trans–New Guinea,Kainantu–Goroka,Kainantu,Gauwa,Awa"
Avokaya,avu,"Nilo-Saharan,?,Central Sudanic,East,Moru–Madi,Central,Avokaya"
Aekyom,awi,"Trans–New Guinea,Awin–Pa,Aekyom"
Awadhi,awa,"Indo-European,Indo-Iranian,Indo-Aryan,Central Zone,Eastern Hindi,Awadhi"
Avaric,ava,"Northeast Caucasian,Avar–Andic,Avar"
Awiyaana,auy,"Trans–New Guinea,Kainantu–Goroka,Kainantu,Gauwa,Awiyaana"
Central Aymara,ayr,"Aymaran,Aymara"
San Pedro Amuzgos Amuzgo,azg,"Oto-Manguean,Eastern,Amuzgo–Mixtecan?,Amuzgo"
Ayoreo,ayo,"Zamucoan,Ayoreo"
Highland Puebla Nahuatl,azz,"Uto-Aztecan,Aztecan (Nahuan),Nahuatl,Eastern Peripheral Nahuatl,Sierra Puebla Nahuatl"
Azerbaijani,aze,"Turkic,Common Turkic,Oghuz,Western Oghuz,Azerbaijani"
Bashkir,bak,"Turkic,Common Turkic,Kipchak,North Kipchak,Bashkir"
South Azerbaijani,azb,"Turkic,Common Turkic,Oghuz,Western Oghuz,Azerbaijani"
Bavarian,bar,"Indo-European,Germanic,West Germanic,Elbe Germanic,High German,Upper German,Bavarian"
Bambara,bam,"Niger-Congo,?,Mande,Western Mande,...,Manding,East Manding,Bambara–Dyula,Bambara"
Vengo,bav,"Niger–Congo,?,Atlantic–Congo,Benue–Congo,Southern Bantoid,Grassfields,Ring,South,Vengo"
Balinese,ban,"Austronesian,Malayo-Polynesian,Malayo-Sumbawan,(?),Bali-Sasak,Balinese"
Waimaha,bao,"Tucanoan,Eastern,Central,Bara,Waimajã"
Awara,awx,"Trans–New Guinea,Finisterre–Huon,Finisterre,Wantoat,Awara"
Barai,bbb,"Trans–New Guinea,Koiarian,Baraic,Barai"
Baatonum,bba,"Niger–Congo,?,Atlantic–Congo,Savannas,Bariba"
Ghomálá',bbj,"Niger–Congo,?,Atlantic–Congo,Volta-Congo,Benue–Congo,Bantoid,Southern Bantoid,Grassfields,Eastern Grassfields,Mbam-Nkam,Bamileke,Ghomala"
Batak Toba,bbc,"Austronesian,Malayo-Polynesian,Northwest Sumatra–Barrier Islands,Batak,Southern,Toba Batak"
Bariai,bch,"Austronesian,Malayo-Polynesian,Oceanic,Western Oceanic,Ngero–Vitiaz,Ngero,Bariai languages,Bariai"
Southern Balochi,bcc,"Indo-European,Indo-Iranian,Iranian,Western Iranian,Northwestern II,Balochi"
Baoulé,bci,"Niger–Congo,?,Atlantic–Congo,Volta-Congo,Kwa,Potou–Tano,Tano,Central Tano,Bia,North Bia,Baoulé"
Bana,bcw,"Afro-Asiatic,Chadic,Biu–Mandara,Bura–Higi,Higi,(A.3),Bana"
Central Bikol,bcl,"Austronesian,Malayo-Polynesian,Philippine,Central Philippine,Bikol languages,Coastal Bikol,Central Bikol"
Kaluli,bco,"Trans–New Guinea,Bosavi,Kaluli–Kasua,Kaluli"
Girawa,bbr,"Trans–New Guinea,Madang,Croisilles,linkage,Mabuso,?,Kokon,Girawa"
Baka (South Sudan),bdh,"Nilo-Saharan,?,Central Sudanic,Bongo–Bagirmi,Bongo–Baka,Baka"
Benabena,bef,"Trans–New Guinea,Kainantu–Goroka,Goroka,Benabena"
Bunama,bdd,"Austronesian,Malayo-Polynesian,Oceanic,Western Oceanic,Papuan Tip,Nuclear Papuan Tip,North Papuan Mainland – D'Entrecasteaux,Dobu–Duau,Bunama"
Jur Modo,bex,"Nilo-Saharan,?,Central Sudanic,Bongo–Bagirmi,Bongo–Baka,Jur Modo"
Beaver,bea,"Dené–Yeniseian,?,Na-Dené,Athabaskan–Eyak,Athabaskan,Northern Athabaskan,Dane-zaa"
Beembe,beq,"Niger–Congo,?,Atlantic–Congo,Benue–Congo,Southern Bantoid,Bantu,(,Zone H.10,),Kongo,Bembe"
Bemba (Zambia),bem,"Niger–Congo,?,Atlantic–Congo,Volta-Congo,Benue–Congo,Bantoid,Southern Bantoid,Bantu,(,Zone M.40–50,),Sabi,South Sabi,Bemba"
Bafut,bfd,"Niger–Congo,?,Atlantic–Congo,Volta-Congo,Benue–Congo,Bantoid,Southern Bantoid,Grassfields,Eastern Grassfields,Mbam-Nkam,Ngemba,Bafut"
Belarusian,bel,"Indo-European,Balto-Slavic,Slavic,East Slavic,Belarusian"
Bawm Chin,bgr,"Sino-Tibetan,(,Tibeto-Burman,),Kuki-Chin,Central,Bawm"
Bengali,ben,"Indo-European,Indo-Iranian,Indo-Aryan,Eastern,Bengali-Assamese,Bengali"
Malba Birifor,bfo,"Niger–Congo,?,Atlantic–Congo,Gur,Northern,Oti–Volta,Moré–Dagbani,Moré,Dagaare–Birifor,Birifor"
Tagabawa,bgs,"Austronesian,Malayo-Polynesian,Philippine,Greater Central Philippine,Manobo,South,Tagabawa"
Bimin,bhl,"Trans–New Guinea,Central & South New Guinea,?,Ok,Mountain Ok,Bimin"
Binandere,bhg,"Trans–New Guinea,Binanderean,Binandere"
Bimoba,bim,"Niger–Congo,?,Atlantic–Congo,Gur,Northern,Oti–Volta,Gurma,Moba"
Bislama,bis,"English Creole,Pacific,Melanesian Pidgin,Bislama"
Bissa,bib,"Niger–Congo,?,Mande,Eastern,Bisa–Busa,Bissa"
Banggai,bgz,"Austronesian,Malayo-Polynesian,Celebic,Saluan–Banggai,Eastern,Banggai"
Biangai,big,"Trans-New Guinea,Goilalan,Kunimaipa,Kunimaipa"
Bima,bhp,"Austronesian,Malayo-Polynesian,(,Central,),Bima–Lembata?,Bima"
Southern Birifor,biv,"Niger–Congo,?,Atlantic–Congo,Gur,Northern,Oti–Volta,Moré–Dagbani,Moré,Dagaare–Birifor,Birifor"
Biete,biu,"Sino-Tibetan,Kuki-Chin,Northern,Biate"
Binumarien,bjr,"Trans–New Guinea,Kainantu–Goroka,Kainantu,Tairora,Binumarien"
Fanamaket,bjp,"Austronesian,Malayo-Polynesian,Oceanic,Western,Meso-Melanesian,(St George linkage),Tangga"
Bedjond,bjv,"Nilo-Saharan,?,Central Sudanic,Bongo–Bagirmi,Sara,Doba"
Buhid,bku,"Austronesian,Malayo-Polynesian,Philippine,Greater Central Philippine,South Mangyan,Buhid"
Bekwarra,bkv,"Niger–Congo,?,Atlantic–Congo,Benue–Congo,Southern Bantoid,?,Bendi,Bekwarra"
Binukid,bkd,"Austronesian,Malayo-Polynesian,Philippine,Greater Central Philippine,Manobo,North,Bukid"
Kuwaa,blh,"Niger–Congo,?,Kru,Kuwaa"
Bembe,bmb,"Niger–Congo,?,Atlantic–Congo,Benue–Congo,Bantoid,Bantu,(,Zone D,, formerly D.50),Lega–Binja,Lega–Bembe,Bembe–Buyi,Bembe"
Balangao,blw,"Austronesian,Malayo-Polynesian,Philippine,Northern Luzon,Meso-Cordilleran,Central Cordilleran,Nuclear Cordilleran,Balangao"
Kein,bmh,"Trans–New Guinea,Madang,Croisilles,linkage,Mabuso,?,Kokon,Kein"
Balantak,blz,"Austronesian,Malayo-Polynesian,Celebic,Saluan-Banggai,Eastern,Balantak"
Muinane,bmr,"?,Bora–Witoto,Boran,Muinane"
Bomu,bmq,"Niger–Congo,?,Atlantic–Congo,Gur,Northern Gur,Bwa,Bo"
